Tiempo (s),Aceleracion Normal (m/s^2),Aceleracion Tangencial (m/s^2)
0.0,1.7747544462568285,-5.29994539432921
0.0349,11.045878360001527,-8.555769389631926
0.0699,17.461001078341187,0.030622370194502757
0.1048,2.7304045166020656,27.765347450938087
0.1398,1.0911865661973792,38.747488911010095
0.1747,1.7709333399962335,31.62842348286778
0.2097,1.7714237908850254,60.56006744817687
0.2446,5.041754894982039,83.53035291765192
0.2796,3.0614260925953127,26.822351435471617
0.3145,2.7734577451390603,-42.45769013064078
0.3495,2.9579025429135406,-37.66485636816921
0.3844,0.04675385962364839,-11.356653903183728
0.4194,0.6490733551555748,-12.330669138366947
0.4543,0.76285590288894,-17.89877844293426
0.4893,0.8501416119027658,-19.435997130302024
0.5242,1.4450447116864962,-23.577482189865886
0.5591,2.0052240480328285,-26.49082473153328
0.5941,1.185957285776153,-25.553977540343844
0.629,1.4472932524440136,-23.863849952731346
0.664,1.135473709581213,-20.746670996030932
0.6989,4.428665959572781,-14.775170662877448
0.7339,8.040268549485605,-8.023297036284532
0.7688,7.306711949546696,-2.672548363436285
0.8038,5.505987689229029,3.4372791293036817
0.8387,4.237037184059323,6.20356586872989
0.8737,16.07165541024838,9.139200640218071
0.9086,25.23938378986789,342.30896102262057
0.9436,18.687940045616706,921.8583451787712
0.9785,57.06913926233794,295.8074524059114
1.0134,60.126730502306046,-506.2334317778861
1.0484,128.257425230679,-175.2481919129654
1.0833,170.95850078420503,-54.7372412612396
1.1183,94.56573020909444,-68.96593541773522
1.1532,53.49316760483339,-72.02618808958928
1.1882,12.372892729156334,-39.140594985456985
1.2231,37.709724114524754,-70.16807905796193
1.2581,32.11451488607214,-195.89161679531668
1.293,66.02244528477416,-51.61698422129781
1.328,86.23856470639144,23.11550002857616
1.3629,52.58790035122183,-49.20114635529426
1.3979,41.54553762562914,-112.9423491265619
1.4328,6.927042308756507,-62.09157613229613
1.4678,2.439122565842068,-42.93535154630715
1.5027,30.59790064829583,-39.29273072463063
1.5376,43.35774339879096,-29.40411488716464
1.5726,11.025754206747814,-29.113714256944235
1.6075,-0.19028355844764078,1.914790973759588
1.6425,4.103918981183776,0.2599073239234917
1.6774,2.890577201917226,-4.7360257958754115
1.7124,0.3343537089325589,1.2631519621018132
1.7473,1.532838339536885,-0.4587599754818519
1.7823,2.1703503445961405,-2.740668983650866
1.8172,0.7670302412278636,1.9292513092319394
1.8522,1.0845235681625984,2.363440033459593
1.8871,1.3108896439642854,-2.073856110565975
1.9221,0.4375166644726076,1.172780605357837
1.957,1.7612977157926812,2.9822404501091158
1.9919,3.83372198684286,-2.5616900080597196
2.0269,3.2805919474768075,-1.4258008711281498
2.0618,3.8721262529574902,0.2704385217072405
2.0968,5.410253277897387,-2.218185837866826
2.1317,4.989058104620318,-2.3902617088805513
2.1667,2.1637548482741833,-1.2894300888182655
