Tiempo (s),PosX (cm),PosY (cm)
0.0,7.3281,3.0854999999999997
0.0352,7.328099999999999,3.0854999999999975
0.0704,7.3281,3.0855
0.1056,7.3281,3.0855
0.1408,7.3281,3.0855
0.176,7.3281,3.0855
0.2112,7.3281,3.0855
0.2464,7.3281,3.08635625
0.2816,7.3281,3.07779375
0.3168,7.3281,3.07779375
0.352,7.3281,3.08635625
0.3872,7.3281,3.08635625
0.4224,7.3281,3.07779375
0.4576,7.3281,3.07779375
0.4928,7.3281,3.08635625
0.528,7.3281,3.0855
0.5632,7.3281,3.0855
0.5984,7.3281,3.0855
0.6336,7.3281,3.0855
0.6688,7.3281,3.0855
0.704,7.3281,3.0855
0.7392,7.3281,3.0855
0.7744,7.3281,3.0855
0.8096,7.3281,3.0855
0.8448,7.327237500000001,3.0855
0.88,7.335000000000001,3.0855
0.9152,7.342762500000001,3.0855
0.9504,7.341900000000001,3.0855
0.9856,7.341900000000001,3.0855
1.0208,7.341900000000001,3.08635625
1.056,7.341900000000001,3.07865
1.0912,7.341900000000001,3.07094375
1.1264,7.341900000000001,3.0718
1.1616,7.341900000000001,3.0718
1.1968,7.341900000000001,3.07094375
1.232,7.341900000000001,3.07950625
1.2672,7.341900000000001,3.07950625
1.3024,7.341900000000001,3.07094375
1.3376,7.341900000000001,3.0718
1.3728,7.341900000000001,3.0718
1.408,7.341900000000001,3.0718
1.4432,7.341900000000001,3.0718
1.4784,7.341900000000001,3.0718
1.5136,7.341900000000001,3.0718
1.5488,7.341900000000001,3.0718
1.584,7.341900000000001,3.0718
1.6192,7.341900000000001,3.0718
1.6544,7.341900000000001,3.0718
1.6896,7.341900000000001,3.0718
1.7248,7.341900000000001,3.0718
1.76,7.341900000000001,3.0718
1.7952,7.341900000000001,3.0718
1.8304,7.341900000000001,3.0718
1.8656,7.341900000000001,3.0718
1.9008,7.341900000000001,3.0718
1.936,7.341900000000001,3.0718
1.9712,7.341900000000001,3.0718
2.0064,7.341900000000001,3.0718
2.0416,7.341900000000001,3.0718
2.0768,7.341900000000001,3.07094375
2.112,7.341900000000001,3.07865
2.1472,7.341900000000001,3.08635625
2.1824,7.341900000000001,3.0855
2.2176,7.341900000000001,3.0855
2.2528,7.341900000000001,3.0855
2.288,7.341900000000001,3.0855
2.3232,7.336731250000001,3.0846375000000004
2.3584,7.38325,3.0924
2.3936,7.42288125,3.10188125
2.4288,7.479699999999999,3.08555
2.464,7.5305,3.07094375
2.4992,7.618275,3.0657625
2.5344,7.766299999999999,3.0502374999999997
2.5696,7.863574999999999,3.0424750000000005
2.6048,7.980675,3.0502374999999997
2.64,8.11158125,3.0674875
2.6752,8.256231249999999,3.058
2.7104,8.40601875,3.0485125
2.7456,8.657399999999999,3.0657625
2.7808,8.908781249999999,3.073525
2.816,9.05943125,3.0648999999999997
2.8512,9.194600000000001,3.0588625
2.8864,9.333212500000002,3.042475
2.9216,9.46578125,3.0442
2.9568,9.575118750000001,3.0450625000000002
2.992,9.674156250000001,3.0364375
3.0272,9.7344375,3.0373
3.0624,9.77400625,3.0364375
3.0976,9.808462500000001,3.0450625000000002
3.1328,9.8360125,3.0450625000000002
3.168,9.85751875,3.0364375000000003
3.2032,9.8627,3.0373
3.2384,9.8696,3.0373
3.2736,9.878225,3.0364375
3.3088,9.8704625,3.0442
3.344,9.854937500000002,3.0502374999999997
3.3792,9.85061875,3.06490625
3.4144,9.856662500000002,3.08295625
3.4496,9.715462500000001,3.0717187500000005
3.4848,8.325087499999999,2.91676875
3.52,6.059175,2.872875
3.5552,6.3932,2.88061875
3.5904,8.484375,2.8522375
3.6256,7.987587499999999,2.96245
3.6608,6.22266875,2.988275
3.696,6.805525,2.9547187499999996
3.7312,8.24499375,2.9934125000000003
3.7664,7.645812500000001,3.0562625000000003
3.8016,6.51541875,3.07093125
3.8368,7.133525,3.0278687499999997
3.872,8.01425,3.0123437500000003
3.9072,7.45036875,3.0407375000000005
3.9424,6.8744,3.0339
3.9776,7.36253125,2.99255625
4.0128,7.43489375,2.98565
4.048,7.18526875,3.0141125000000004
4.0832,7.4486687499999995,2.9951375000000002
4.1183,7.513193749999999,2.987375
4.1535,7.38580625,2.9968625
4.1887,7.38843125,2.994275
4.2239,7.399637500000001,3.0106625
4.2591,7.3798062500000015,3.0175625000000004
4.2943,7.399581250000001,3.0167
4.3295,7.389237500000001,3.0175625000000004
4.3647,7.390100000000001,3.00808125
4.3999,7.390100000000001,3.01664375
4.4351,7.390100000000001,3.0244125000000004
4.4703,7.3909625000000005,3.02269375
4.5055,7.389409999999995,3.0242349999999982
4.5407,7.381129999999994,3.032454999999999
