Tiempo (s),PosX (cm),PosY (cm)
0.0000,7.7233,3.1556
0.0349,7.7089,3.1700
0.0699,7.6657,3.1844
0.1048,7.7089,3.1988
0.1398,7.8098,3.1700
0.1747,7.9394,3.1844
0.2097,8.1124,3.1988
0.2446,8.3141,3.1844
0.2796,8.8184,3.2132
0.3145,9.1066,3.2565
0.3495,9.3659,3.2421
0.3844,9.6253,3.2709
0.4194,9.8703,3.2709
0.4543,10.0864,3.2853
0.4893,10.2881,3.2853
0.5242,10.4610,3.2997
0.5591,10.6051,3.2997
0.5941,10.7060,3.3141
0.6290,10.7925,3.3141
0.6640,10.8357,3.3285
0.6989,10.8645,3.3141
0.7339,10.8789,3.3285
0.7688,10.8789,3.3285
0.8038,10.8789,3.3429
0.8387,10.8645,3.3429
0.8737,10.8357,3.3429
0.9086,10.7780,3.3573
0.9436,10.6628,3.3429
0.9785,7.9539,2.8962
1.0134,4.7406,3.0547
1.0484,6.5706,2.7521
1.0833,8.8616,3.6311
1.1183,7.6369,3.6743
1.1532,5.7637,3.0836
1.1882,6.2824,3.3573
1.2231,7.8530,3.5879
1.2581,8.0835,3.6023
1.2930,6.8876,3.3285
1.3280,6.8876,3.2421
1.3629,7.9250,3.2709
1.3979,8.0835,3.1412
1.4328,7.4207,3.2277
1.4678,7.4639,3.1412
1.5027,7.7665,3.1988
1.5376,7.6224,3.2709
1.5726,7.6801,3.2565
1.6075,7.6657,3.2709
1.6425,7.6801,3.2277
1.6774,7.6801,3.2277
1.7124,7.6657,3.2421
1.7473,7.6801,3.2565
1.7823,7.6657,3.2565
1.8172,7.6657,3.2709
1.8522,7.6801,3.2421
1.8871,7.6801,3.2421
1.9221,7.6801,3.2277
1.9570,7.6801,3.2565
1.9919,7.6657,3.2709
2.0269,7.6801,3.2709
2.0618,7.6801,3.2565
2.0968,7.6801,3.2421
2.1317,7.6657,3.2565
2.1667,7.6801,3.2421
